Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Theory & Psychology,0959-3543,Sage,,https://journals.sagepub.com/author-instructions/TAP,0,Mentions without guidance.,0,"""At SAGE we are committed to facilitating openness, transparency and reproducibility of research. Where relevant, The Journal encourages authors to share their research data in a suitable public repository subject to ethical considerations and where data is included, to add a data accessibility statement in their manuscript file. Authors should also follow data citation principles. For more information please visit the SAGE Author Gateway, which includes information about SAGE’s partnership with the data repository Figshare. ""  Encourages, not requires.",0,,0,,0,,0,,0,,0,,0,,0,0,0
The Counseling Psychologist ,0011-0000 ,Sage,,https://journals.sagepub.com/author-instructions/TCP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
The Arts in Psychotherapy,0197-4556,Elsevier,,https://perma.cc/57XM-F4TY,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
Teaching of Psychology,0098-6283,Sage,,https://journals.sagepub.com/author-instructions/TOP,0,,1,"""As part of the submission process authors must include a Transparency and Open Science Statement. This statement will be included as part of the peer review process and will ultimately appear in the Author Note section of accepted manuscripts. """,0,,1,"""As part of the submission process authors must include a Transparency and Open Science Statement. This statement will be included as part of the peer review process and will ultimately appear in the Author Note section of accepted manuscripts. """,3,"""2.5.1 Disclosures. As part of the submission procedures, authors will be asked to confirm the following"" ""These items are presented as a checklist in the submission portal, with authors actively confirming adherence to each practice. """,1,"""As part of the submission process authors must include a Transparency and Open Science Statement. This statement will be included as part of the peer review process and will ultimately appear in the Author Note section of accepted manuscripts. """,1,"""As part of the submission process authors must include a Transparency and Open Science Statement. This statement will be included as part of the peer review process and will ultimately appear in the Author Note section of accepted manuscripts. """,1,"""ToP encourages the publication of replication studies.""",0,,2,10,10
Studies in Educational Evaluation,0191-491X,Elsevier,,https://perma.cc/G2ES-6Y6J,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
Sport Psychologist,0888-4781,Human Kinetics,,https://journals.humankinetics.com/view/journals/tsp/tsp-overview.xml?tab_body=null-7643,0,,0,"""Authors are expected to have their raw data and descriptive statistics available throughout the editorial review process and are responsible for providing elaboration upon request."" During review, but no sharing requirement.",0,,0,,0,,0,,0,,0,,0,,0,0,0
SPATIAL COGNITION AND COMPUTATION,,Taylor & Francis,,https://perma.cc/6C3N-C9S9,0,Authors are further encouraged to cite any data sets referenced in the article,0,"Data Sharing Policy

This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.

Authors are encouraged to deposit the dataset(s) in a recognized data repository that can mint a persistent digital identifier, preferably a digital object identifier (DOI) and recognizes a long-term preservation plan. If you are uncertain about where to deposit your data, please see this information regarding repositories.

Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement.

At the point of submission, you will be asked if there is a data set associated with the paper. If you reply yes, you will be asked to provide the DOI, pre-registered DOI, hyperlink, or other persistent identifier associated with the data set(s). If you have selected to provide a pre-registered DOI, please be prepared to share the reviewer URL associated with your data deposit, upon request by reviewers.

Where one or multiple data sets are associated with a manuscript, these are not formally peer reviewed as a part of the journal submission process. It is the author’s responsibility to ensure the soundness of data. Any errors in the data rest solely with the producers of the data set(s).",0,,0,,0,,0,,0,,0,,0,,0,0,0
South African Journal of Psychology,0081-2463,Sage,,https://journals.sagepub.com/author-instructions/SAP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Social Psychology Quarterly,0190-2725,Sage,,https://journals.sagepub.com/author-instructions/SPQ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Small Group Research,1046-4964,Sage,,https://journals.sagepub.com/author-instructions/SGR,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
SEXUAL AND RELATIONSHIP THERAPY,,Taylor & Francis,,https://perma.cc/3ZNW-3B7Z,0,Authors are further encouraged to cite any data sets referenced in the article,0,"Data Sharing Policy

This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.

Authors are encouraged to deposit the dataset(s) in a recognized data repository that can mint a persistent digital identifier, preferably a digital object identifier (DOI) and recognizes a long-term preservation plan. If you are uncertain about where to deposit your data, please see this information regarding repositories.",0,,0,,0,,0,,0,,0,,0,,0,0,0
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,,Sage,,https://perma.cc/ZK4R-HG78,0,,0,,0,,0,,0,,0,"Sexual Abuse encourages open science practices, which includes preregistration of studies",0,"Specify whether analyses were prespecified prior to data collection- in order to address the specific research question- or exploratory- implemented after examination of the data and/or prespecified analyses (see Head et al. [2015], for further information)

...

These guidelines are intended to be aspirational, to encourage greater transparency and reproducibility. Submissions that cannot address all these points will still be considered and accepted for publication in SA.",0,,3,,2,5,5
Self and Identity,1529-8876,Taylor & Francis,,https://perma.cc/98U5-2YCB,0,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement.""",1,"""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found. Where applicable, this should include the hyperlink, DOI or other persistent identifier associated with the data set(s)."" Requires data availability.",0,,0,"""Research should be communicated in a way that supports verification and reproducibility, and as such we encourage authors to provide comprehensive descriptions of their research rationale, protocol, methodology, and analysis."" Encouraged, not required.",1,"""To aid authors in this, a number of study-design specific consensus-based reporting guidelines have been developed, and we recommend you to use these as guidance prior to submitting your manuscript.

A comprehensive list of reporting guidelines for medicine and health research can be accessed via the EQUATOR network website, and for biosciences research via the MIBBI Foundry portal.""",0,,0,,0,,0,,0,2,2
Revista de Psicodidáctica,1136-1034,Elsevier,,https://www.elsevier.com/journals/revista-de-psicodidactica/1136-1034/guide-for-authors,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
REVIEW OF RESEARCH IN EDUCATION,0091-732X,,,https://mjl.clarivate.com/journal-profile,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Review of General Psychology,1089-2680,Sage,,https://journals.sagepub.com/author-instructions/RGP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
REVIEW OF EDUCATIONAL RESEARCH,0034-6543,Sage,,https://journals.sagepub.com/author-instructions/RER,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,,Taylor & Francis,,https://perma.cc/4VSN-AZYX,0,Authors are further encouraged to cite any data sets referenced in the article,0,"Data Sharing Policy

This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.

Authors are encouraged to deposit the dataset(s) in a recognized data repository that can mint a persistent digital identifier, preferably a digital object identifier (DOI) and recognizes a long-term preservation plan. If you are uncertain about where to deposit your data, please see this information regarding repositories.",0,,0,,0,,0,,0,,0,,0,,0,0,0
Research in Organizational Behavior,0191-3085,Elsevier,,https://www.journals.elsevier.com/research-in-organizational-behavior,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Research in Autism Spectrum Disorders,1750-9467,Elsevier,,https://perma.cc/FWH3-P9WT,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",2,"""All animal studies need to ensure they comply with the ARRIVE guidelines. More information can be found at http://www.nc3rs.org.uk/page.asp?id=1357"" ""Manuscripts reporting the results of randomized trials or interventions must demonstrate adherence to the CONSORT guidelines (http://www.consort-statement.org/) and include the relevant flow diagram and completed checklist."" ""For systematic reviews and meta-analyses, authors must demonstrate adherence to the PRISMA guidelines (www.prisma-statement.org) and include the relevant flow diagram and checklist.""",0,,0,,0,,0,,0,3,3
Psychophysiology,,Wiley,,https://perma.cc/TLC2-VKN6,0,,0,"""Psychophysiology encourages authors to share their data, materials, and research instruments supporting the results in their study by archiving them in an appropriate public repository. """,0,,0,"""Psychophysiology encourages authors to share their data, materials, and research instruments supporting the results in their study by archiving them in an appropriate public repository. """,1,"""Psychophysiology receives manuscript using a variety of methodologies. For best practices we ask that authors followed the guideline articles published in the journal, which can be found at https://sprweb.org/page/Guidelines_Papers. As an example of what needs to be reported in a result section, please see the published outline created for ERP and EEG articles.""",0,"""The journal also welcomes manuscripts for which authors have registered their research plans. """,0,"""The journal also welcomes manuscripts for which authors have registered their research plans. """,0,,0,,0,1,1
Psychology of Sport and Exercise,1469-0292,Elsevier,,https://perma.cc/5NRW-L8W5,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,,0,,0,,1,"""Randomized controlled trials should be presented according to the CONSORT guidelines. At manuscript submission, authors must provide the CONSORT checklist accompanied by a flow diagram that illustrates the progress of patients through the trial, including recruitment, enrollment, randomization, withdrawal and completion, and a detailed description of the randomization procedure. The CONSORT checklist and template flow diagram are available online.

For meta-analysis, the PRISMA (http://www.prisma-statement.org/) guidelines should be followed; authors should present a flow diagramme and attach with their cover letter the PRISMA checklist. For systematic reviews it is recommended that the PRISMA guidelines are followed, although it is not compulsory. For protocol papers, the SPIRIT checklist and diagramme (http://www.spirit-statement.org/publications-downloads/) should be submitted."" Should, not must.",0,,0,,3,"""We welcome direct multi-lab replications of experimental research published in PSE (or elsewhere, as long as the topic is within the scope of the journal). Interested authors should submit a proposal to the Editors-in-Chief prior to collecting their data. We follow the guidelines as outlined by the Association for Psychological Science (APS), and a proposal form is available on the APS website. We will also consider direct single-lab replications of experimental research published in the journal only."" Links to APS Registered Report format.",3,"""NEW! Registered reports (click here for more details). These submissions undergo a two-phase review process in which study rationale and methodology are considered prior to the research being undertaken.""",0,8,8
Psychology of Music,0305-7356,Sage,,https://journals.sagepub.com/author-instructions/POM,0,Mention but no guidance.,0,"""At SAGE we are committed to facilitating openness, transparency and reproducibility of research. Where relevant, The Journal encourages authors to share their research data in a suitable public repository subject to ethical considerations and where data is included, to add a data accessibility statement in their manuscript file. Authors should also follow data citation principles. For more information please visit the SAGE Author Gateway, which includes information about SAGE’s partnership with the data repository Figshare. "" Encouraged, not required.",0,,0,,0,,0,,0,,0,,0,,0,0,0
Psychology of Learning and Motivation,0079-7421,Elsevier,,https://www.sciencedirect.com/bookseries/psychology-of-learning-and-motivation,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Psychologie Française,0033-2984,Elsevier,,https://www.elsevier.com/journals/psychologie-francaise/0033-2984/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,,0,,0,,0,,0,,0,,0,,0,,0,1,1
Psychological Science in the Public Interest,,Sage,,https://perma.cc/W98K-CQWR,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Psychological Reports,0033-2941,Sage,,https://journals.sagepub.com/author-instructions/PRX,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Psychological Medicine,,Cambridge University Press,,https://perma.cc/V8QE-5Q52,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
PSYCHOLOGICA BELGICA,,Ubiquity,,https://www.psychologicabelgica.com/about/editorialpolicies/,2,"""Data obtained from other sources must be appropriately credited.""",0,"DAS encouraged but not required: ""The journal strongly encourages authors to make all data associated with their submission openly available, according to the FAIR principles (Findable, Accessible, Interoperable, Reusable). This should be linked to from a Data Accessibility Statement within the submitted paper, which will be made public upon publication. . If data is not being made available with the journal publication then ideally a statement from the author should be provided within the submission to explain why.""",0,"""If research includes the use of software code, statistical analysis or algorithms then we also recommend that authors upload the code...""",0,,0,"Does not list a specific reporting checklist, but does encourage protocol publishing: ""the journal encourages authors to publish detailed descriptions of their structured methods in open, online platforms such as protocols.io.""",0,,0,,0,,0,,0,2,2
PSYCHOANALYTIC STUDY OF THE CHILD,,Taylor & Francis,,https://perma.cc/KVW6-VA3E,0,,0,"Supplemental online material. Supplemental material can be a video, dataset, fileset, sound file or anything which supports (and is pertinent to) your paper. We publish supplemental material online via Figshare. Find out more about supplemental material and how to submit it with your article.",0,,0,,0,,0,,0,,0,,0,,0,0,0
PRATIQUES PSYCHOLOGIQUES,1269-1763,Elsevier,,https://www.elsevier.com/journals/pratiques-psychologiques/1269-1763/guide-for-authors,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,,0,,0,,0,,0,,0,,0,,0,,0,1,1
Political Psychology,,Wiley,,https://perma.cc/U675-D7L9,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
PHYSIOLOGY & BEHAVIOR,,Elsevier,,https://perma.cc/8U7T-FHGX,1,"Data references
This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.",0,"Research data

This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.

Data statement
To foster transparency, we encourage you to state the availability of your data in your submission. This may be a requirement of your funding body or institution. If your data is unavailable to access or unsuitable to post, you will have the opportunity to indicate why during the submission process, for example by stating that the research data is confidential. The statement will appear with your published article on ScienceDirect. For more information, visit the Data Statement page.",0,"To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",0,"To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",0,"All animal experiments should comply with the ARRIVE guidelines and should be carried out in accordance with the U.K. Animals (Scientific Procedures) Act, 1986 and associated guidelines, EU Directive 2010/63/EU for animal experiments, or the National Institutes of Health guide for the care and use of Laboratory animals (NIH Publications No. 8023, revised 1978) and the authors should clearly indicate in the manuscript that such guidelines have been followed. ",0,,0,,0,,0,,0,1,1
Physical Review Physics Education Research,,American Physical Society,,https://journals.aps.org/prper/authors/editorial-policies-practices,0,,0,,0,"""Supplemental Material is information that is useful to a subset of readers but is not essential to comprehend the article’s main results. The Physical Review journals archive Supplemental Material, providing permanent access to the information. Supplemental Material includes, but is not limited to, multimedia files, tables of raw or analyzed data, parameters used in or produced by calculations, and computer codes. Information regarding how the research was conducted, such as details of sample preparation, and derivations of equations, can also be included in the Supplemental Material if this information is not crucial to a reader’s understanding of the associated paper. The paper must stand on its own; it must be understandable and convincing without the Supplemental Material. These file formats are acceptable for Supplemental Material.""",0,"""Supplemental Material is information that is useful to a subset of readers but is not essential to comprehend the article’s main results. The Physical Review journals archive Supplemental Material, providing permanent access to the information. Supplemental Material includes, but is not limited to, multimedia files, tables of raw or analyzed data, parameters used in or produced by calculations, and computer codes. Information regarding how the research was conducted, such as details of sample preparation, and derivations of equations, can also be included in the Supplemental Material if this information is not crucial to a reader’s understanding of the associated paper. The paper must stand on its own; it must be understandable and convincing without the Supplemental Material. These file formats are acceptable for Supplemental Material.""",0,,0,,0,,1,"""Confirmation of previously published results of unusual importance can be considered as new, as can significant null results.""",1,"""Confirmation of previously published results of unusual importance can be considered as new, as can significant null results.""",0,2,2
"Phi Delta Kappan,",0031-7217 ,Sage,,https://journals.sagepub.com/author-instructions/PDK,0,,0,,0,,0,,0,,0,"Please note that this journal does not allow submissions from papers that are already available as a preprint.
",0,,0,,0,,0,0,0
PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,,Sage,,https://perma.cc/N3JG-YKEQ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Personnel Review,0048-3486,Emerald,,https://perma.cc/8B8Q-UMZA,1,"""That means we encourage you to: Cite and fully reference all data, program code, and other methods in your article."" Includes example citations.",0,,0,,0,,0,,0,,0,,0,,0,,0,1,1
PERSONNEL PSYCHOLOGY,,Wiley,,https://perma.cc/KPL3-PZNY,0,,0,"""Personnel Psychology encourages data sharing wherever possible, unless this is prevented by ethical, privacy, or confidentiality matters. Authors publishing in the journal are therefore encouraged to make their data, scripts, and other artefacts used to generate the analyses presented in the paper available via a publicly available data repository; however, this is not mandatory. If the study includes original data, at least one author must confirm that he or she had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis.""",0,"""Personnel Psychology encourages data sharing wherever possible, unless this is prevented by ethical, privacy, or confidentiality matters. Authors publishing in the journal are therefore encouraged to make their data, scripts, and other artefacts used to generate the analyses presented in the paper available via a publicly available data repository; however, this is not mandatory. If the study includes original data, at least one author must confirm that he or she had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis.""",0,"""Personnel Psychology encourages data sharing wherever possible, unless this is prevented by ethical, privacy, or confidentiality matters. Authors publishing in the journal are therefore encouraged to make their data, scripts, and other artefacts used to generate the analyses presented in the paper available via a publicly available data repository; however, this is not mandatory. If the study includes original data, at least one author must confirm that he or she had full access to all the data in the study and takes responsibility for the integrity of the data and the accuracy of the data analysis.""",1,"""Research Reporting Guidelines. Accurate and complete reporting enables readers to fully appraise research, replicate it, and use it. Authors are encouraged to adhere to the following research reporting standards. JARS https://www.apa.org/pubs/authors/jars.pdf""
",0,,0,,0,,0,,0,1,1
Personality and Social Psychology Review,1088-8683,Sage,,https://journals.sagepub.com/author-instructions/PSR,0,,0,"""the raw data and related coding information underlying all findings of empirically-based publications will be shared consistent with SPSP’s (2013) Data Sharing Policy."" Policy does not require posting to a repository, just a promise to share if a requestor meets specific conditions.",0,"""the raw data and related coding information underlying all findings of empirically-based publications will be shared consistent with SPSP’s (2013) Data Sharing Policy."" Policy does not require posting to a repository, just a promise to share if a requestor meets specific conditions.",0,,1,"""Meta-analyses should follow the Meta-Analysis Reporting Standards (MARS) recommended by the APA (http://www.apa.org/pubs/authors/jars.pdf)."" Should, not must.",0,,0,,0,,0,,0,1,1
